Frequency[Hz],Channel.Amp,Channel.Phase[rad]
 -1536000000.000000000, 0.000209271, -2.758617275
 -1518545454.545454500, 0.000018259, -2.895057008
 -1501090909.090909000, 0.000019255, -1.748339561
 -1483636363.636363740, 0.000019708, -1.363604184
 -1466181818.181818250, 0.000021244, -1.325422429
 -1448727272.727272750, 0.000026256, -1.368981936
 -1431272727.272727250, 0.000035758, -1.427599362
 -1413818181.818181750, 0.000050442, -1.469732415
 -1396363636.363636490, 0.000070410, -1.521550787
 -1378909090.909091000, 0.000097291, -1.612568424
 -1361454545.454545500, 0.000141193, -1.746356599
 -1344000000.000000000, 0.000213940, -1.919659555
 -1326545454.545454500, 0.000313602, -2.150986528
 -1309090909.090909000, 0.000428446, -2.472887031
 -1291636363.636363740, 0.000537631, -2.860520250
 -1274181818.181818250, 0.000607589, 3.076628003
 -1256727272.727272750, 0.000626544, 2.845052321
 -1239272727.272727250, 0.000652227, 2.676268544
 -1221818181.818181990, 0.000741508, 2.502046886
 -1204363636.363636490, 0.000853137, 2.303749057
 -1186909090.909091000, 0.000908132, 2.085283660
 -1169454545.454545500, 0.000903250, 1.877416269
 -1152000000.000000000, 0.000902336, 1.734204741
 -1134545454.545454500, 0.000941469, 1.662633001
 -1117090909.090909000, 0.001001762, 1.582260831
 -1099636363.636363740, 0.001059481, 1.434428470
 -1082181818.181818250, 0.001094907, 1.284813673
 -1064727272.727272750, 0.001095882, 1.217630031
 -1047272727.272727250, 0.001111885, 1.199178953
 -1029818181.818181870, 0.001222423, 1.133566413
 -1012363636.363636370, 0.001399695, 0.993565987
 -994909090.909090996, 0.001494999, 0.829977133
 -977454545.454545498, 0.001436867, 0.687721509
 -960000000.000000000, 0.001350392, 0.588139021
 -942545454.545454621, 0.001357372, 0.539151460
 -925090909.090909123, 0.001414013, 0.495877509
 -907636363.636363745, 0.001428303, 0.402221233
 -890181818.181818247, 0.001386830, 0.281246979
 -872727272.727272749, 0.001330976, 0.210143841
 -855272727.272727370, 0.001293459, 0.206746542
 -837818181.818181872, 0.001292993, 0.202408153
 -820363636.363636374, 0.001326954, 0.150091511
 -802909090.909090996, 0.001330901, 0.089004358
 -785454545.454545498, 0.001248194, 0.066477218
