Coeff.Re,Coeff.Im
 -0.0157889, 0.0107878
 0.0132977, -0.0109199
 -0.0212098, 0.0063915
 0.0293414, 0.0045943
 -0.0370970, -0.0188917
 0.0486811, 0.0607529
 -0.0838470, -0.1107781
 0.1370792, 0.1285019
 -0.1709160, -0.0649358
 0.1427198, -0.1047765
 0.0101477, 0.3719630
 -0.3321410, -0.6493321
 0.7285123, 0.6850327
 -0.8085342, -0.3126248
 0.1507596, -0.2050777
 0.7172286, 0.0601136
 0.4409055, 0.3814627
 0.3125585, -0.2759922
 -0.0253589, -0.0806409
 0.1465070, -0.1290247
 -0.2813242, -0.1277534
 0.1677117, 0.0888424
 -0.2910799, -0.1039647
 0.2464882, 0.1261496
 -0.1973258, -0.0433618
 0.1065967, 0.0415598
 -0.1113647, -0.0451072
 0.0883107, 0.0244129
 -0.0578541, 0.0026822
 0.0427735, -0.0100765
 -0.0238691, 0.0104693
 0.0181771, -0.0117308
